event_id,name_de,token,fc_read,fc_write,address,parameter,block_length,byte_position,byte_length,bit_position,bit_length,unit,conversion
2890,(E2) Raumgerät Istwertkorrektur M2,KE2_KonfiRT_KorrekturFernbedienungM2~0x37E2,Virtual_READ,Virtual_WRITE,0x37E2,Byte,1,0,1,0,0,,NoConversion
4089,Externe Raumsolltemperatur HK1,nviHCC1_SpaceSetpt~0xA401,Virtual_READ,Virtual_WRITE,0xA401,Byte,2,0,2,0,0,ecnUnit.Grad C,Div100
4092,Externe Raumsolltemperatur HK2,nviHCC2_SpaceSetpt~0xA441,Virtual_READ,Virtual_WRITE,0xA441,Byte,2,0,2,0,0,ecnUnit.Grad C,Div100
4174,Effektive Raumsolltemperatur HK1,nvoHCC1_EffRoomSetpt~0xA406,Virtual_READ,undefined,0xA406,SInt,2,0,2,0,0,ecnUnit.Grad C,Div100
4176,Effektive Raumsolltemperatur HK2,nvoHCC2_EffRoomSetpt~0xA446,Virtual_READ,undefined,0xA446,SInt,2,0,2,0,0,ecnUnit.Grad C,Div100
5290,Fernbedienung A1 Software-Index,SWIndex_FB1~0x0A5C,Virtual_READ,undefined,0x0A5C,Array,4,3,1,0,0,,NoConversion
5291,Fernbedienung M2 Software-Index,SWIndex_FB2~0x0A60,Virtual_READ,undefined,0x0A60,Array,4,3,1,0,0,,NoConversion
5367,Raumtemperatur A1M1,TiefpassTemperatur_RTS_A1M1~0x0896,Virtual_READ,undefined,0x0896,Int,2,0,2,0,0,ecnUnit.Grad C,Div10
5376,Raumtemperatur M2,TiefpassTemperaturwert_RTS_M2~0x0898,Virtual_READ,undefined,0x0898,Int,2,0,2,0,0,ecnUnit.Grad C,Div10
10796,Status Raumtemp.-Sensor HK1,HO2B_SensorStatus_RTS_M1~0x089C,Virtual_READ,undefined,0x089C,Byte,1,0,1,0,0,,NoConversion
10797,Status Raumtemp.-Sensor HK2,HO2B_SensorStatus_RTS_M2~0x089D,Virtual_READ,undefined,0x089D,Byte,1,0,1,0,0,,NoConversion
