"section","group","event_id","name","token","address","datatype","hidden_condition","source_device"
"Überblick (7504)","Heizkreis M2","780","Heizkreispumpe Drehzahl","HKP_M2Drehzahl","0x7665","Int","E5_KennPumpHzkM2=""0 stufig""","VDensHO1"
"Überblick (7504)","Heizkreis M2","40","Heizkreispumpe M2","Ausgang_HKP_M2","0x7665","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","83","Raumtemperatur Soll Normalbetrieb M2","BedienRTSolltemperaturM2","0x3306","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","86","Raumtemperatur Soll Reduzierter Betrieb M2","BedienRTSolltemperaturReduziertM2","0x3307","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","77","Partybetrieb M2","BedienPartybetriebM2","0x3303","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","89","Sparbetrieb M2","BedienSparbetriebM2","0x3302","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","5376","Raumtemperatur M2","TiefpassTemperaturwert_RTS_M2","0x0898","Int","RaumTempSensHK2=""Nicht vorhanden"" OR A0_KennFBM2=""nicht vorhanden"" OR A0_KennFBM2=""0 ohne"" OR FBM2=""nicht vorhanden""","VDensHO1"
"Überblick (7504)","Heizkreis M2","718","Frostgefahr des Heizkreises M2","HK_Frostgefahr_aktivM2","0x3500","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","715","Ferienprogramm M2","HK_FerienbetriebM2","0x3535","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","307","Ferien Abreisetag M2","FerienBeginnM2","0x3309","Array","","VDensHO1"
"Überblick (7504)","Heizkreis M2","310","Ferien Rückreisetag M2","FerienEndeM2","0x3311","Array","","VDensHO1"
"Überblick (7504)","Heizkreis M2","2872","Neigung Heizkennlinie M2","KD3_KonfiNeigungM2D","0x37D3","Byte","","VDensHO1"
"Überblick (7504)","Heizkreis M2","2878","Niveau Heizkennlinie M2","KD4_KonfiNiveauM2D","0x37D4","SByte","","VDensHO1"
"Überblick (7504)","Warmwasser","7179","Warmwasserbereitung","WW_Status_NR1","0x650A","Byte","","VDensHO1"
"Überblick (7504)","Warmwasser","5381","Temperatur Speicher Ladesensor Komfortsensor","TiefpassTemperaturwertWW1","0x0812","Int","","VDensHO1"
"Überblick (7504)","Warmwasser","5382","Auslauftemperatur","TiefpassTemperaturwerWW2","0x0814","Int","""Status Sensor 5B""=""nicht vorhanden"" OR ""Status Sensor 5B""=""Unterbrechung""","VDensHO1"
"Überblick (7504)","Warmwasser","51","Warmwasser-Solltemperatur","Bedien_WW_Solltemperatur","0x6300","Byte","","VDensHO1"
"Überblick (7504)","Warmwasser","5280","Speicherladepumpe","Speicherladepumpe","0x6513","Byte","","VDensHO1"
"Überblick (7504)","Warmwasser","5389","Umschaltventil","Umschaltventil","0x0A10","Byte","","VDensHO1"
"Überblick (7504)","Warmwasser","312","Flow Switch","FlowSwitch","0x0883","Byte","","VDensHO1"
"Überblick (7504)","Solarregelung","5272","Solar Kollektortemperatur","Solarkollektortemperatur","0x6564","SInt","""Solar Kollektortemperatur"">{'CompanyId': '24', 'Unit': 'Grad C', 'DataType': 'Float', 'Stepping': 0.1, 'LowerBorder': -20.0, 'UpperBorder': 250.0} OR ""Solar Kollektortemperatur""<{'CompanyId': '24', 'Unit': 'Grad C', 'DataType': 'Float', 'Stepping': 0.1, 'LowerBorder': -20.0, 'UpperBorder': 250.0} OR ""Status Solar Kollektorsensor""=""Nicht vorhanden""","VDensHO1"
"Überblick (7504)","Solarregelung","5276","Solar Speichertemperatur","SolarSpeichertemperatur","0x6566","Int","""Solar Speichertemperatur"">{'CompanyId': '24', 'Unit': 'Grad C', 'DataType': 'Float', 'Stepping': 0.1, 'LowerBorder': 0.0, 'UpperBorder': 127.0} OR ""Solar Speichertemperatur""<{'CompanyId': '24', 'Unit': 'Grad C', 'DataType': 'Float', 'Stepping': 0.1, 'LowerBorder': 0.0, 'UpperBorder': 127.0}","VDensHO1"
"Überblick (7504)","Solarregelung","5274","Solar Solarpumpe","SolarPumpe","0x6552","Byte","","VDensHO1"
"Überblick (7504)","Solarregelung","5273","Solar Nachladeunterdrückung","SolarNachlade","0x6551","Byte","","VDensHO1"
"Überblick (7504)","Solarregelung","5277","Solar Betriebsstunden","SolarStunden","0x6568","Int","","VDensHO1"
"Überblick (7504)","Solarregelung","5279","Solar Wärmemenge","SolarWaerme","0x6560","Int4","","VDensHO1"
"Überblick (7504)","Solarregelung","941","Solarregelung","K54_Solar_Info","0x7754","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","92","Betriebsart A1M1","BedienteilBA_GWGA1","0x2323","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","82","Raumtemperatur Soll Normalbetrieb A1M1","BedienRTSolltemperaturA1M1","0x2306","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","273","Externe Raumsolltemperatur Normal A1M1","ExternRTSolltemperaturA1M1","0x2321","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","85","Raumtemperatur Soll Reduzierter Betrieb A1M1","BedienRTSolltemperaturReduziertA1M1","0x2307","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","51","Warmwasser-Solltemperatur","Bedien_WW_Solltemperatur","0x6300","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","306","Ferien Abreisetag A1M1","FerienBeginnA1M1","0x2309","Array","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","309","Ferien Rückreisetag A1M1","FerienEndeA1M1","0x2311","Array","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","2870","Neigung Heizkennlinie A1","KD3_KonfiNeigungA1D","0x27D3","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten A1","2876","Niveau Heizkennlinie A1","KD4_KonfiNiveauA1D","0x27D4","SByte","","VDensHO1"
"Bedienung (7505)","Heizzeiten A1","7191","Schaltzeiten A1M1","Schaltzeiten_A1M1_HK","","Array","","VDensHO1"
"Bedienung (7505)","Warmwasser","7192","Schaltzeiten WW A1M1","Schaltzeiten_A1M1_WW","","Array","","VDensHO1"
"Bedienung (7505)","Zirkulation","7193","Schaltzeiten ZP A1M1","Schaltzeiten_A1M1_ZP","","Array","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","94","Betriebsart M2","BedienteilBA_GWGM2","0x3323","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","83","Raumtemperatur Soll Normalbetrieb M2","BedienRTSolltemperaturM2","0x3306","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","274","Externe Raumsolltemperatur Normal M2","ExternRTSolltemperaturM2","0x3321","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","86","Raumtemperatur Soll Reduzierter Betrieb M2","BedienRTSolltemperaturReduziertM2","0x3307","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","51","Warmwasser-Solltemperatur","Bedien_WW_Solltemperatur","0x6300","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","307","Ferien Abreisetag M2","FerienBeginnM2","0x3309","Array","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","310","Ferien Rückreisetag M2","FerienEndeM2","0x3311","Array","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","2872","Neigung Heizkennlinie M2","KD3_KonfiNeigungM2D","0x37D3","Byte","","VDensHO1"
"Bedienung (7505)","Betriebsdaten M2","2878","Niveau Heizkennlinie M2","KD4_KonfiNiveauM2D","0x37D4","SByte","","VDensHO1"
"Bedienung (7505)","Heizzeiten M2","7194","Schaltzeiten M2","Schaltzeiten_M2_HK","","Array","","VDensHO1"
"Bedienung (7505)","Warmwasser","7195","Schaltzeiten WW M2","Schaltzeiten_M2_WW","","Array","7F_EFH=""1 Einfamilienhaus""","VDensHO1"
"Bedienung (7505)","Zirkulation","7196","Schaltzeiten ZP M2","Schaltzeiten_M2_ZP","","Array","7F_EFH=""1 Einfamilienhaus""","VDensHO1"
"Bedienung (7505)","Datum + Uhr","5385","Datum und Uhrzeit","Uhrzeit","0x088E","Array","","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","791","(00) Heizkreis-Warmwasserschema","K00_KonfiAnlagenschemaGWG_W","0x7700","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","983","(77) Viessmann - Teilnehmernummer","K77_KonfiVI_TeilnehmernummerV100_V300","0x7777","Byte","76_KonfKommMod=""0 ohne"" OR 76_KonfKommMod=""0 ohne"" OR 76_KommMod=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","1001","(7F) Unterscheidung Einfamilienhaus - Mehrparteienhaus","K7F_KonfiEinfamilienhaus","0x777F","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","1023","(91) Zuordnung externe Betriebsarten-umschaltung","K91_KonfiZuordnungExtBA_GWG","0x7791","Byte","""(2E) Kennung Externe Erweiterung""=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","1043","(98) Viessmann - Anlagennummer","K98_KonfiVI_Anlagennummer","0x7798","Byte","76_KommMod=""0 ohne"" OR 76_KommMod=""2 Kaskaden-Modul"" OR 76_KonfKommMod=""0 ohne"" OR 76_KonfKommMod=""0 ohne"" OR 76_KonfKommMod=""2 ungültig"" OR 76_KonfKommMod=""2 HV-Bus-Modul""","VDensHO1"
"Inbetriebnahme (7506)","Allgemein","1047","(9B) VT_Solltemperatur bei externer Anforderung","K9B_KonfiVT_SolltemperaturExternV100_V333","0x779B","Byte","""(2E) Kennung Externe Erweiterung""=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Kessel","805","(01) Anlagentyp","K01_KonfiAnlagentypGWG","0x7701","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","818","(06) Kesselmaximal-Temperatur","K06_KonfiKTMaxGWG","0x5706","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","862","(21) Betriebsstunden Brenner für Wartung","K21_KonfiBetriebsstdBrennerWart100","0x5721","Int","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","864","(23) Zeitintervall für Wartung","K23_KonfiZeitintervallWartung","0x5723","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","866","(24) Status der Wartung","K24_KonfiStatusWartung","0x5724","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","883","(2F) Entlüftungs-/ Befüllungsprogramm","K2F_KonfiEntlueftung","0x572F","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Kessel","887","(32) Einfluß Extern Sperren auf Pumpen","K32_KonfiExtSperre","0x5732","Byte","""(2E) Kennung Externe Erweiterung""=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Kessel","890","(34) Einfluß Extern Anfordern auf Pumpen","K34_KonfiExtAnf","0x5734","Byte","""(2E) Kennung Externe Erweiterung""=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1059","(A2) Speichervorrang A1M1","KA2_KonfiSpeichervorrangA1M1","0x27A2","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1072","(A4) Frostschutzfunktion A1M1","KA4_KonfiKeineFrostschutzfunktionA1M1","0x27A4","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1075","(A5) Sommersparschaltung Schaltschwelle A1M1","KA5_KonfSommersparSchaltschwelleA1M1","0x27A5","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1078","(A6) Absolute Sommersparschaltung A1M1","KA6_KonfiAbsolutSommersparA1M1","0x27A6","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1081","(A7) Mischersparfunktion M1","KA7_KonfiMischersparfunktionM1","0x27A7","Byte","""Kennung HK1""≠""Mischerkreis""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1085","(A9) Pumpenstillstand A1M1 bei Übergang in reduzierten Betrieb","KA9_KonfiHKpumpeBeiReduziertA1M1","0x27A9","Byte","""(B0) Raumaufschaltung A1M1""=""1 WS - RS"" OR ""(B0) Raumaufschaltung A1M1""=""2 RS - WS"" OR ""(B0) Raumaufschaltung A1M1""=""3 RS - RS""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1101","(B0) Raumaufschaltung A1M1","KB0_KonfiRaumaufschaltungA1M1","0x27B0","Byte","A0_KennFBA1M1=""0 ohne"" OR A0_KennFBA1M1=""nicht vorhanden""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","1107","(B5) Sommersparschaltung RS A1M1","KB5_KonfiRaumSommerspar_GWGA1M1","0x27B5","Byte","A0_KennFBA1M1=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2847","(C5) Vorlauf - Minimalbegrenzung A1M1","KC5_KonfiMinimalbegrenzungA1M1","0x27C5","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2850","(C6) Vorlauf - Maximalbegrenzung A1M1","KC6_KonfiMaxbegrenzung_VT_SollwertA1M1","0x27C6","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2880","(D5) Wirkung Betriebsarten-umschaltung A1M1","KD5_KonfiWirkungExtBA_UmschaltungA1M1","0x27D5","Byte","ZuordExtBetrUmsch=""0 inaktiv"" OR ZuordExtBetrUmsch=""2 M2"" OR ZuordExtBetrUmsch=""4 M3"" OR ZuordExtBetrUmsch=""6 M2 + M3""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2903","(E6) Maximale Drehzahl geregelte Pumpe A1M1","KE6_KonfiMaxDrehzahlA1M1_GWG","0x27E6","Byte","E5_KennPumpHzkA1=""0 stufig"" AND 30_KennIntUmwPumpe=""0 stufig""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2908","(E7) Minimale Drehzahl geregelte Pumpe A1M1","KE7_KonfiMinDrehzahlA1M1_GWG","0x27E7","Byte","E5_KennPumpHzkA1=""0 stufig"" AND 30_KennIntUmwPumpe=""0 stufig""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2957","(F1) Estrichfunktion A1M1","KF1_KonfiTemperaturprogrammM1","0x27F1","Byte","""Kennung HK1""≠""Mischerkreis""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2962","(F2) Zeitbegrenzung Party/ Betriebsarten-Umschaltung A1","KF2_KonfiPartyzeitGWGA1","0x27F2","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2976","(F8) Start Modifizierung Raumtemp. Soll red. HK1","KF8_KonfiStartModTRSollredA1","0x27F8","SByte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2979","(F9) Ende Modifizierung Raumtemp. Soll red. HK1","KF9_KonfiEndeModTRSollredA1","0x27F9","SByte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2982","(FA) Überhöhung Vorlauftemperatur Soll HK1","KFA_KonfiUeberhoehungVTSollA1","0x27FA","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis A1M1","2985","(FB) Dauer Überhöhung Vorlauftemperatur Soll HK1","KFB_KonfiDauerUeberhoehungVTSollA1","0x27FB","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1061","(A2) Speichervorrang M2","KA2_KonfiSpeichervorrangM2","0x37A2","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1073","(A4) Frostschutzfunktion M2","KA4_KonfiKeineFrostschutzfunktionM2","0x37A4","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1076","(A5) Sommersparschaltung Schaltschwelle M2","KA5_KonfSommersparSchaltschwelleM2","0x37A5","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1079","(A6) Absolute Sommersparschaltung M2","KA6_KonfiAbsolutSommersparM2","0x37A6","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1082","(A7) Mischersparfunktion M2","KA7_KonfiMischersparfunktionM2","0x37A7","Byte","""Kennung HK2""≠""Mischerkreis""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1087","(A9) Pumpenstillstand M2 bei Übergang in reduzierten Betrieb","KA9_KonfiHKpumpeBeiReduziertM2","0x37A9","Byte","""(B0) Raumaufschaltung M2""=""1 WS - RS"" OR ""(B0) Raumaufschaltung M2""=""2 RS - WS"" OR ""(B0) Raumaufschaltung M2""=""3 RS - RS""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1102","(B0) Raumaufschaltung M2","KB0_KonfiRaumaufschaltungM2","0x37B0","Byte","A0_KennFBM2=""0 ohne"" OR A0_KennFBM2=""nicht vorhanden""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","1108","(B5) Sommersparschaltung RS M2","KB5_KonfiRaumSommerspar_GWGM2","0x37B5","Byte","A0_KennFBM2=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2848","(C5) Vorlauf - Minimalbegrenzung M2","KC5_KonfiMinimalbegrenzungM2","0x37C5","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2851","(C6) Vorlauf - Maximalbegrenzung M2","KC6_KonfiMaxbegrenzung_VT_SollwertM2","0x37C6","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2881","(D5) Wirkung Betriebsarten-umschaltung M2","KD5_KonfiWirkungExtBA_UmschaltungM2","0x37D5","Byte","ZuordExtBetrUmsch=""0 inaktiv"" OR ZuordExtBetrUmsch=""1 A1/M1"" OR ZuordExtBetrUmsch=""4 M3"" OR ZuordExtBetrUmsch=""5 A1/M1 + M3""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2904","(E6) Maximale Drehzahl geregelte Pumpe M2","KE6_KonfiMaxDrehzahlM2_GWG","0x37E6","Byte","E5_KennPumpHzkM2=""0 stufig""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2909","(E7) Minimale Drehzahl geregelte Pumpe M2","KE7_KonfiMinDrehzahlM2_GWG","0x37E7","Byte","E5_KennPumpHzkM2=""0 stufig""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2958","(F1) Estrichfunktion M2","KF1_KonfiTemperaturprogrammM2","0x37F1","Byte","""Kennung HK2""≠""Mischerkreis""","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2963","(F2) Zeitbegrenzung Party/ Betriebsarten-Umschaltung M2","KF2_KonfiPartyzeitGWGM2","0x37F2","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2977","(F8) Start Modifizierung Raumtemp. Soll red. HK2","KF8_KonfiStartModTRSollredM2","0x37F8","SByte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2980","(F9) Ende Modifizierung Raumtemp. Soll red. HK2","KF9_KonfiEndeModTRSollredM2","0x37F9","SByte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2983","(FA) Überhöhung Vorlauftemperatur Soll HK2","KFA_KonfiUeberhoehungVTSollM2","0x37FA","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Heizkreis M2","2986","(FB) Dauer Überhöhung Vorlauftemperatur Soll HK2","KFB_KonfiDauerUeberhoehungVTSollM2","0x37FB","Byte","","VDensHO1"
"Inbetriebnahme (7506)","Warmwasser","963","(67) WW-Solltemperatur bei Nachladeunterdrückung","K67_KonfiWW_Soll3","0x6767","Byte","54_SR=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Warmwasser","974","(73) Intervall-Freigabe Zirkulationspumpe","K73_KonfiZpumpeIntervallFreigabe","0x6773","Byte","""(70) Zirk.-pumpenausgang als Relaisausgang""=""1 Relaisausgang""","VDensHO1"
"Inbetriebnahme (7506)","Fernbedienung A1M1","1101","(B0) Raumaufschaltung A1M1","KB0_KonfiRaumaufschaltungA1M1","0x27B0","Byte","A0_KennFBA1M1=""0 ohne"" OR A0_KennFBA1M1=""nicht vorhanden""","VDensHO1"
"Inbetriebnahme (7506)","Fernbedienung A1M1","1107","(B5) Sommersparschaltung RS A1M1","KB5_KonfiRaumSommerspar_GWGA1M1","0x27B5","Byte","A0_KennFBA1M1=""0 ohne""","VDensHO1"
"Inbetriebnahme (7506)","Fernbedienung M2","1102","(B0) Raumaufschaltung M2","KB0_KonfiRaumaufschaltungM2","0x37B0","Byte","A0_KennFBM2=""0 ohne"" OR A0_KennFBM2=""nicht vorhanden""","VDensHO1"
"Inbetriebnahme (7506)","Fernbedienung M2","1108","(B5) Sommersparschaltung RS M2","KB5_KonfiRaumSommerspar_GWGM2","0x37B5","Byte","A0_KennFBM2=""0 ohne""","VDensHO1"
"Codierung 2 (7511)","Allgemein","791","(00) Heizkreis-Warmwasserschema","K00_KonfiAnlagenschemaGWG_W","0x7700","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","937","(52) Sensor Hydraulische Weiche","K52_KonfiWeiche","0x7752","Byte","""(01) Anlagentyp""=""2 Mehrkessel VI-Kaskade""","VDensHO1"
"Codierung 2 (7511)","Allgemein","938","(53) Rangierung Relais K12","K53_Rangierung","0x7753","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","940","(54) Solarregelung","K54_Solar","0x7754","Byte","""(01) Anlagentyp""=""2 Mehrkessel VI-Kaskade""","VDensHO1"
"Codierung 2 (7511)","Allgemein","978","(76) Kommunikationsmodul","K76_Kommunikationsmodul_GWG","0x7776","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","983","(77) Viessmann - Teilnehmernummer","K77_KonfiVI_TeilnehmernummerV100_V300","0x7777","Byte","76_KonfKommMod=""0 ohne"" OR 76_KonfKommMod=""0 ohne"" OR 76_KommMod=""0 ohne""","VDensHO1"
"Codierung 2 (7511)","Allgemein","986","(78) LON - Kommunikation Freigeben/ Sperren","K78_KonfiNVKommunikationLONV100GC1","0x7778","Byte","76_KonfKommMod=""0 ohne"" OR 76_KonfKommMod=""0 ohne"" OR 76_KommMod=""0 ohne""","VDensHO1"
"Codierung 2 (7511)","Allgemein","990","(79) Zentraler Fehlermanager der Anlage","K79_KonfiFehlerManagerV300_V333","0x7779","Byte","76_KonfKommMod=""0 ohne"" OR 76_KommMod=""0 ohne""","VDensHO1"
"Codierung 2 (7511)","Allgemein","995","(7B) Uhrzeit auf LON","K7B_KonfiFunktionUhrSenden_3","0x777B","Byte","76_KonfKommMod=""0 ohne"" OR 76_KommMod=""0 ohne""","VDensHO1"
"Codierung 2 (7511)","Allgemein","1001","(7F) Unterscheidung Einfamilienhaus - Mehrparteienhaus","K7F_KonfiEinfamilienhaus","0x777F","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","1002","(80) Verzögerung Fehleranzeige","K80_KonfiFehlerDelay","0x7780","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","1004","(81) Funktion Uhr","K81_KonfiFunktionUhr","0x7781","Byte","","VDensHO1"
"Codierung 2 (7511)","Allgemein","1012","(88) Anzeigemodus Celsius - Fahrenheit","K88_KonfiCelsiusFahrenheit","0x7788","Byte","","VDensHO1"
